** TWEETS **

902487847436943360: 53641
565830552: 9
3019733878: 9
1261633938: 387
70696919: 11
1194383365228703744: 448
393901166: 19
1475334474: 1665
1394346374: 10389
1166809785183981573: 31
592950498: 3909
64193227: 286
1019113203740168193: 1731
763100287028568064: 8073
794950647443550208: 70
1510686793: 57
289233222: 31
184777687: 124
365393443: 13
302865927: 13
18241502: 1302
374433194: 684
2315010628: 1940
367358872: 21
278268360: 887
956563650831159302: 13
889205554660483073: 468
1560386328: 3178
868626733: 7
1054297760588017664: 3
1154289788620562433: 8
1062644464257261568: 28
3065011714: 1551
1322905844: 52
242402914: 25
448378335: 16
734519526: 69111
111470963: 396
928560036992995328: 179
1128291255958552586: 1
3920345835: 7336
206136780: 962
265667733: 20
963759950387404803: 3503
109232491: 35
130529382: 1202
301618334: 26
332752204: 715
533085897: 3569
87523503: 3919
3795506008: 46
8553322: 622
1102174406833520642: 302
91560739: 5316
968958328830349315: 2261
871271580978040832: 2435
426121231: 69
4284976889: 1
1058906293342269442: 2
45317102: 598
967130310700929035: 3695
888441198628790273: 20
1045420633637761024: 27
345257174: 16
1614766778: 64
159506844: 24
76933378: 377
50960484: 1083
289384959: 961
103533308: 60
384905321: 5251
1081350886969040897: 3754
2773804598: 53
286885829: 1647
950341134: 4
105302430: 343
714913406952800256: 421
4838961: 799
253981141: 4
3389961405: 223
962693247540891649: 5540
1177970171790712834: 3647
64247981: 583
196663706: 807
1105765568253181952: 21033
26055286: 620
602050222: 1272
3370994254: 3703
76682484: 16014
2304084603: 61772
256096821: 11
889150730: 36
359582874: 1495
3246595731: 50
2310496585: 17215
2517251103: 1047
454019467: 236
197438433: 478
19186720: 26
851471209: 46
849955489936965632: 2581
1100408021925023744: 3680
420880207: 443
1039079605444005889: 260
2167214850: 13
125647054: 445
2393434206: 15098
3014327645: 3670
135528247: 13014
